id,prompt,answer,category,num_examples,example_symbols,example_char_operation_mapping,example_char_operation_mapping_json,question_char_operation_mapping,question_char_operation_mapping_json,example_logic,question_logic,example_has_prefix,example_has_suffix,question_has_prefix,question_has_suffix,example_has_negative,question_is_negative,example_offset_summary_exact_op,example_offset_summary_family,question_offset,question_best_family,question_best_exact_op,New Operations,row_has_outlier_example,row_outlier_example_count,row_has_complex_example,row_complex_example_count,diff_example_prefix_when_positive,diff_example_suffix_when_positive,diff_example_prefix_only_negative,question_output_style,question_raw_answer,question_clean_answer
901dbd9a,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
86|25 = 911|
82|15 = 87|
54|78 = 131|
64|94 = 49|
Now, determine the result for: 57=18",5706,numeric_math_guess,4,|;|;|;|,"|: Add (reverse, -1)","{""|"": {""symbol"": ""|"", ""operation"": ""Add"", ""logic"": ""reverse"", ""offset"": -1, ""support"": 4, ""candidate_count"": 19, ""best_candidates"": [[[""add"", ""reverse"", -1], 4], [[""add-1"", ""reverse"", -1], 4], [[""add+1"", ""reverse"", -1], 4], [[""digit_add_mod10"", ""reverse"", -1], 4], [[""cross_mul_rev"", ""reverse"", -1], 4]]}}","=: Mul (reverse, 0)","{""symbol"": ""="", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,False,True,False,False,False,False,add: -1,add: -1,0,mul,Mul,Mul,False,0,True,4,False,True,False,plain,5706,5706
61d94044,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
78[71 = 501
69.65 = 93
85[44 = 301
Now, determine the result for: 51{41",12,numeric_math_guess,3,[;.;[,".: Sub (reverse, -1) ; [: Add (reverse, 1)","{""["": {""symbol"": ""["", ""operation"": ""Add"", ""logic"": ""reverse"", ""offset"": 1, ""support"": 2, ""candidate_count"": 5, ""best_candidates"": [[[""add"", ""reverse"", 1], 2], [[""add-1"", ""reverse"", 1], 2], [[""add+1"", ""reverse"", 1], 2], [[""digit_add_mod10"", ""reverse"", 1], 2], [[""cross_mul_rev"", ""reverse"", 1], 2]]}, ""."": {""symbol"": ""."", ""operation"": ""Sub"", ""logic"": ""reverse"", ""offset"": -1, ""support"": 1, ""candidate_count"": 11, ""best_candidates"": [[[""sub"", ""reverse"", -1], 1], [[""sub-1"", ""reverse"", -1], 1], [[""sub+1"", ""reverse"", -1], 1], [[""absdiff"", ""reverse"", -1], 1], [[""rabs"", ""reverse"", -1], 1]]}}","{: Mul (reverse, 0)","{""symbol"": ""{"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,False,False,False,False,False,False,add: 1; sub: -1,add: 1; diff: -1,0,mul,Mul,Mul,False,0,True,3,False,False,False,plain,12,12
160d806b,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
94>84 = 10
57>70 = 86
80)77 = 68
54)64 = 29
Now, determine the result for: 80}52",2,numeric_math_guess,4,>;>;);),"): Add (reverse, 1) ; >: Sub (reverse, 0)","{"">"": {""symbol"": "">"", ""operation"": ""Sub"", ""logic"": ""reverse"", ""offset"": 0, ""support"": 2, ""candidate_count"": 14, ""best_candidates"": [[[""sub"", ""reverse"", 0], 2], [[""sub-1"", ""reverse"", 0], 2], [[""sub+1"", ""reverse"", 0], 2], [[""absdiff"", ""reverse"", 0], 2], [[""rabs"", ""reverse"", 0], 2]]}, "")"": {""symbol"": "")"", ""operation"": ""Add"", ""logic"": ""reverse"", ""offset"": 1, ""support"": 2, ""candidate_count"": 25, ""best_candidates"": [[[""add"", ""reverse"", 1], 2], [[""add-1"", ""reverse"", 1], 2], [[""add+1"", ""reverse"", 1], 2], [[""digit_add_mod10"", ""reverse"", 1], 2], [[""cross_mul_rev"", ""reverse"", 1], 2]]}}","}: Mul (reverse, 0)","{""symbol"": ""}"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,False,False,False,False,False,False,add: 1; sub: 0,add: 1; diff: 0,0,mul,Mul,Mul,False,0,True,4,False,False,False,plain,2,2
ca923992,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
45[85 = 30[
77%86 = 541%
46%22 = 68%
34[47 = 03[
Now, determine the result for: 39(56",5406,numeric_math_guess,4,[;%;%;[,"%: Add (reverse, 0) ; [: AbsDiff (reverse, -1)","{""%"": {""symbol"": ""%"", ""operation"": ""Add"", ""logic"": ""reverse"", ""offset"": 0, ""support"": 2, ""candidate_count"": 8, ""best_candidates"": [[[""add"", ""reverse"", 0], 2], [[""add-1"", ""reverse"", 0], 2], [[""add+1"", ""reverse"", 0], 2], [[""digit_add_mod10"", ""reverse"", 0], 2], [[""cross_mul_rev"", ""reverse"", 0], 2]]}, ""["": {""symbol"": ""["", ""operation"": ""AbsDiff"", ""logic"": ""reverse"", ""offset"": -1, ""support"": 2, ""candidate_count"": 12, ""best_candidates"": [[[""absdiff"", ""reverse"", -1], 2], [[""rabs"", ""reverse"", -1], 2], [[""rsub"", ""reverse"", -1], 2], [[""rmod"", ""reverse"", -1], 2], [[""maxmodmin"", ""reverse"", -1], 2]]}}","(: Mul (reverse, 0)","{""symbol"": ""("", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,False,True,False,False,False,False,absdiff: -1; add: 0,add: 0; diff: -1,0,mul,Mul,Mul,False,0,True,4,False,True,False,plain,5406,5406
721eec83,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
66|53 = 118
33)16 = 17
42|71 = 112
24|18 = 41
61)72 = 11
Now, determine the result for: 19#83",1577,numeric_math_guess,5,|;);|;|;),"): AbsDiff (pure, 0) ; |: Add (pure, -1)","{""|"": {""symbol"": ""|"", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": -1, ""support"": 3, ""candidate_count"": 23, ""best_candidates"": [[[""add"", ""direct"", -1], 3], [[""add-1"", ""direct"", -1], 3], [[""add+1"", ""direct"", -1], 3], [[""digit_add_mod10"", ""direct"", -1], 3], [[""cross_mul_rev"", ""direct"", -1], 3]]}, "")"": {""symbol"": "")"", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": 0, ""support"": 2, ""candidate_count"": 24, ""best_candidates"": [[[""absdiff"", ""direct"", 0], 2], [[""rabs"", ""direct"", 0], 2], [[""rsub"", ""direct"", 0], 2], [[""rmod"", ""direct"", 0], 2], [[""maxmodmin"", ""direct"", 0], 2]]}}","#: Mul (pure, 0)","{""symbol"": ""#"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,False,False,False,False,False,False,absdiff: 0; add: -1,add: -1; diff: 0,0,mul,Mul,Mul,False,0,True,2,False,False,False,plain,1577,1577
d6a7b8da,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
66@48 = 115
85|64 = 20
49@82 = 132
89|17 = 71
Now, determine the result for: 88#22",1936,numeric_math_guess,4,@;|;@;|,"@: Add (pure, 1) ; |: AbsDiff (pure, -1)","{""@"": {""symbol"": ""@"", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": 1, ""support"": 2, ""candidate_count"": 9, ""best_candidates"": [[[""add"", ""direct"", 1], 2], [[""add-1"", ""direct"", 1], 2], [[""add+1"", ""direct"", 1], 2], [[""digit_add_mod10"", ""direct"", 1], 2], [[""cross_mul_rev"", ""direct"", 1], 2]]}, ""|"": {""symbol"": ""|"", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": -1, ""support"": 2, ""candidate_count"": 23, ""best_candidates"": [[[""absdiff"", ""direct"", -1], 2], [[""rabs"", ""direct"", -1], 2], [[""rsub"", ""direct"", -1], 2], [[""rmod"", ""direct"", -1], 2], [[""maxmodmin"", ""direct"", -1], 2]]}}","#: Mul (pure, 0)","{""symbol"": ""#"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,False,False,False,False,False,False,absdiff: -1; add: 1,add: 1; diff: -1,0,mul,Mul,Mul,False,0,True,2,False,False,False,plain,1936,1936
bba5caf5,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
98^86 = 184
70^47 = 117
14^39 = 53
46^46 = 92
Now, determine the result for: 99.68",6732,numeric_math_guess,4,^;^;^;^,"^: Add (pure, 0)","{""^"": {""symbol"": ""^"", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": 0, ""support"": 4, ""candidate_count"": 5, ""best_candidates"": [[[""add"", ""direct"", 0], 4], [[""add-1"", ""direct"", 0], 4], [[""add+1"", ""direct"", 0], 4], [[""digit_add_mod10"", ""direct"", 0], 4], [[""cross_mul_rev"", ""direct"", 0], 4]]}}",".: Mul (pure, 0)","{""symbol"": ""."", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,False,False,False,False,False,False,add: 0,add: 0,0,mul,Mul,Mul,False,0,True,2,False,False,False,plain,6732,6732
40c60228,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
96@83 = 12@
85@12 = 72@
96@44 = 51@
83@15 = 67@
Now, determine the result for: 32:70",2240,numeric_math_guess,4,@;@;@;@,"@: Sub (pure, -1)","{""@"": {""symbol"": ""@"", ""operation"": ""Sub"", ""logic"": ""pure"", ""offset"": -1, ""support"": 4, ""candidate_count"": 19, ""best_candidates"": [[[""sub"", ""direct"", -1], 4], [[""sub-1"", ""direct"", -1], 4], [[""sub+1"", ""direct"", -1], 4], [[""absdiff"", ""direct"", -1], 4], [[""rabs"", ""direct"", -1], 4]]}}",":: Mul (pure, 0)","{""symbol"": "":"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,False,True,False,False,False,False,sub: -1,diff: -1,0,mul,Mul,Mul,False,0,False,0,False,True,False,plain,2240,2240
e16e487b,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
52>62 = 00>
98!73 = 35!
46>94 = 61>
61!80 = 90!
Now, determine the result for: 14$68",6253,numeric_math_guess,4,>;!;>;!,"!: AbsDiff (reverse, 1) ; >: Sub (reverse, 1)","{""!"": {""symbol"": ""!"", ""operation"": ""AbsDiff"", ""logic"": ""reverse"", ""offset"": 1, ""support"": 2, ""candidate_count"": 5, ""best_candidates"": [[[""absdiff"", ""reverse"", 1], 2], [[""rabs"", ""reverse"", 1], 2], [[""rsub"", ""reverse"", 1], 2], [[""rmod"", ""reverse"", 1], 2], [[""maxmodmin"", ""reverse"", 1], 2]]}, "">"": {""symbol"": "">"", ""operation"": ""Sub"", ""logic"": ""reverse"", ""offset"": 1, ""support"": 2, ""candidate_count"": 13, ""best_candidates"": [[[""sub"", ""reverse"", 1], 2], [[""sub-1"", ""reverse"", 1], 2], [[""sub+1"", ""reverse"", 1], 2], [[""absdiff"", ""reverse"", 1], 2], [[""rabs"", ""reverse"", 1], 2]]}}","$: Mul (reverse, 0)","{""symbol"": ""$"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,False,True,False,False,False,False,absdiff: 1; sub: 1,diff: 1,0,mul,Mul,Mul,False,0,True,4,False,True,False,plain,6253,6253
44dc60b3,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
73=90 = =92
66|16 = |821
36|44 = |801
80=26 = =55
Now, determine the result for: 46@66",4224,numeric_math_guess,4,=;|;|;=,"=: AbsDiff (reverse, 1) ; |: Add (reverse, 1)","{""="": {""symbol"": ""="", ""operation"": ""AbsDiff"", ""logic"": ""reverse"", ""offset"": 1, ""support"": 2, ""candidate_count"": 25, ""best_candidates"": [[[""absdiff"", ""reverse"", 1], 2], [[""rabs"", ""reverse"", 1], 2], [[""rsub"", ""reverse"", 1], 2], [[""rmod"", ""reverse"", 1], 2], [[""maxmodmin"", ""reverse"", 1], 2]]}, ""|"": {""symbol"": ""|"", ""operation"": ""Add"", ""logic"": ""reverse"", ""offset"": 1, ""support"": 2, ""candidate_count"": 18, ""best_candidates"": [[[""add"", ""reverse"", 1], 2], [[""add-1"", ""reverse"", 1], 2], [[""add+1"", ""reverse"", 1], 2], [[""digit_add_mod10"", ""reverse"", 1], 2], [[""cross_mul_rev"", ""reverse"", 1], 2]]}}","@: Mul (reverse, 0)","{""symbol"": ""@"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,True,False,False,False,False,False,absdiff: 1; add: 1,add: 1; diff: 1,0,mul,Mul,Mul,False,0,True,4,True,False,False,plain,4224,4224
d7f1a5b3,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
21$38 = 18
24$69 = 46
25$92 = 68
Now, determine the result for: 29:73",2117,numeric_math_guess,3,$;$;$,"$: AbsDiff (pure, 1)","{""$"": {""symbol"": ""$"", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": 1, ""support"": 3, ""candidate_count"": 25, ""best_candidates"": [[[""absdiff"", ""direct"", 1], 3], [[""rabs"", ""direct"", 1], 3], [[""rsub"", ""direct"", 1], 3], [[""rmod"", ""direct"", 1], 3], [[""maxmodmin"", ""direct"", 1], 3]]}}",":: Mul (pure, 0)","{""symbol"": "":"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,False,False,False,False,False,False,absdiff: 1,diff: 1,0,mul,Mul,Mul,False,0,False,0,False,False,False,plain,2117,2117
a0edc7d9,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
85<84 = 11<
94<72 = 32<
29<67 = 71<
78^71 = 96^
54^52 = 91^
Now, determine the result for: 80=79",677,numeric_math_guess,5,<;<;<;^;^,"<: Sub (reverse, 1) ; ^: AbsDiff (reverse, -1)","{""<"": {""symbol"": ""<"", ""operation"": ""Sub"", ""logic"": ""reverse"", ""offset"": 1, ""support"": 3, ""candidate_count"": 15, ""best_candidates"": [[[""sub"", ""reverse"", 1], 3], [[""sub-1"", ""reverse"", 1], 3], [[""sub+1"", ""reverse"", 1], 3], [[""absdiff"", ""reverse"", 1], 3], [[""rabs"", ""reverse"", 1], 3]]}, ""^"": {""symbol"": ""^"", ""operation"": ""AbsDiff"", ""logic"": ""reverse"", ""offset"": -1, ""support"": 2, ""candidate_count"": 17, ""best_candidates"": [[[""absdiff"", ""reverse"", -1], 2], [[""rabs"", ""reverse"", -1], 2], [[""rsub"", ""reverse"", -1], 2], [[""rmod"", ""reverse"", -1], 2], [[""maxmodmin"", ""reverse"", -1], 2]]}}","=: Mul (reverse, 0)","{""symbol"": ""="", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,False,True,False,False,False,False,absdiff: -1; sub: 1,diff: 1,0,mul,Mul,Mul,False,0,True,5,False,True,False,plain,677,677
62d6716c,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
58]59 = 01]
94]93 = 01]
29]73 = 55]
14]26 = 12]
Now, determine the result for: 74=85",6272,numeric_math_guess,4,];];];],"]: AbsDiff (reverse, 0)","{""]"": {""symbol"": ""]"", ""operation"": ""AbsDiff"", ""logic"": ""reverse"", ""offset"": 0, ""support"": 4, ""candidate_count"": 13, ""best_candidates"": [[[""absdiff"", ""reverse"", 0], 4], [[""rabs"", ""reverse"", 0], 4], [[""rsub"", ""reverse"", 0], 4], [[""rmod"", ""reverse"", 0], 4], [[""maxmodmin"", ""reverse"", 0], 4]]}}","=: Mul (reverse, 0)","{""symbol"": ""="", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,False,True,False,False,False,False,absdiff: 0,diff: 0,0,mul,Mul,Mul,False,0,True,4,False,True,False,plain,6272,6272
1290de1b,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
60}93 = }153
20}52 = }72
96.78 = .18
58.50 = .08
Now, determine the result for: 90@72",6480,numeric_math_guess,4,};};.;.,".: AbsDiff (pure, 0) ; }: Add (pure, 0)","{""}"": {""symbol"": ""}"", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": 0, ""support"": 2, ""candidate_count"": 20, ""best_candidates"": [[[""add"", ""direct"", 0], 2], [[""add-1"", ""direct"", 0], 2], [[""add+1"", ""direct"", 0], 2], [[""digit_add_mod10"", ""direct"", 0], 2], [[""cross_mul_rev"", ""direct"", 0], 2]]}, ""."": {""symbol"": ""."", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": 0, ""support"": 2, ""candidate_count"": 4, ""best_candidates"": [[[""absdiff"", ""direct"", 0], 2], [[""rabs"", ""direct"", 0], 2], [[""rsub"", ""direct"", 0], 2], [[""rmod"", ""direct"", 0], 2], [[""maxmodmin"", ""direct"", 0], 2]]}}","@: Mul (pure, 0)","{""symbol"": ""@"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,True,False,False,False,False,False,absdiff: 0; add: 0,add: 0; diff: 0,0,mul,Mul,Mul,False,0,True,2,True,False,False,plain,6480,6480
